Device Name,Device ID,Sensor Name,Sensor ID,Date,Message,Traffic Total
Arista 7150S @NSE-PHASE-5 (172.16.4.51),3150,Eth19 Traffic LIU-A23 (OFC-PNS-Primary) to BSE-DC1 LIU-A22 172.16.5.4 Eth1/45--NEW,3285,03-07-2024 09:15:23,Not breach,82.0
Arista 7150S @NSE-PHASE-5 (172.16.4.51),3150,Eth20 Traffic (LIU-B7) to 172.16.4.2 Xg0/0/43 (LIU-B7),3287,N/A,Not breach,
Arista 7150S @NSE-PHASE-5 (172.16.4.51),3150,Eth21 Traffic (LIU-A8) to 172.16.4.3 Eth1/36 (LIU-B8),3297,N/A,Not breach,
Arista 7150S @NSE-PHASE-5 (172.16.4.51),3150,Eth14 Traffic LIU-14 (OFC-PNS-Primary)_TO_BSE-DC-6_172.18.5.1_Eth1/40,7425,03-07-2024 09:15:38,Not breach,320.0
Huawei S6720 @NSE-PHASE-6 (172.16.4.61),3172,XGE0/0/21 Traffic Phase-6 LIU-A9 to Phase-4 172.16.4.1 Eth1/23 LIU-A9,4998,03-07-2024 17:00:25,Not breach,227.0
Arista 7150S @NSE-PHASE-6 (172.16.4.62),3173,EEth1/23 Traffic LIU-A23 (OFC-PNS-Primary) to BSE-DC1 LIU-A23 172.16.5.4 Eth1/43,3396,03-07-2024 09:15:35,Not breach,91.0
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,Eth1/23 Traffic NSE (LIU-B28) to BSE-DC1 172.16.5.1 Eth1/23 (LIU-B28),5501,03-07-2024 09:15:44,Not breach,1816.0
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,Eth1/24 Traffic NSE (LIU-B30) to BSE-DC1 172.16.5.1 Eth1/21 (LIU-B30),6810,N/A,Not breach,
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,Eth1/41 Traffic LIU-B41 (OFC-PNS-Primary) to BKC 172.16.3.4 Eth1/41,5506,03-07-2024 00:01:33,Not breach,0.02
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,(436232192) Ethernet2/1 Traffic,5509,03-07-2024 16:28:00,Not breach,1289.0
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,(436232704) Ethernet2/2 Traffic,5510,03-07-2024 09:23:36,Not breach,1221.0
Cisco Nexus C9396PX @ PHASE-4 172.16.4.5 (4.4.4.5),5490,NSE-BSE(BACKUP)port-channel101,7226,03-07-2024 09:23:17,Not breach,3803.0
Cisco 31108 @ BSE-NM  (172.16.5.1) (5.5.5.5),3407,Eth-1/54 Traffic BSE(LIU-20) to BKC (OFC-PNS-Primary) to 172.16.3.1 Eth-1/54,6331,03-07-2024 09:22:06,Not breach,1241.0
Cisco 31108 @ BSE-NM  (172.16.5.1) (5.5.5.5),3407,Eth-1/43 Traffic BSE DC-1 to BSE DC-6 (OFC-PNS-Primary)  to 172.18.5.1 Eth-1/43,7410,03-07-2024 09:16:29,Not breach,976.0
Cisco 9372PX @ BSE-DC3 (172.17.5.1)(5.5.5.129),3465,Eth-1/44 Traffic BSE DC-3 to BSE DC-6 (OFC-PNS-Primary) to 172.18.5.1 Eth-1/44,7411,N/A,Not breach,
Cisco Nex C9372PX @ CHURCHGATE (172.16.7.1/7.7.7.1),4586,Eth1/45 Traffic NSE_TO_CHURCHGATE_(OFC-PNS-Primary) _LIU-No-1_4.1_Eth1/46,7187,03-07-2024 01:00:57,Not breach,0.02
Cisco Nex C9372PX @ CHURCHGATE (172.16.7.1/7.7.7.1),4586,Eth1/46 Traffic CHURCHGATE to BSE(EXCH) (OFC-PNS-Primary) to 6.6.6.129 Eth1/45,4593,03-07-2024 11:22:59,Not breach,0.0
Cisco Nex C9372PX @ CHURCHGATE (172.16.7.1/7.7.7.1),4586,Eth1/47 Traffic CHURCHGATE to BSE(NM) (OFC-PNS-LIU-3) to 172.16.5.1 Eth1/46 (LIU-40),4594,N/A,Not breach,
Cisco Nexus 31108 @ BKC-MMR (172.16.3.1)(3.3.3.3),4608,Eth-1/45 Traffic BKC to KOHINOOR KURLA (OFC-PNS-PRI) to 172.16.15.1 Eth-1/47,4648,03-07-2024 14:46:54,Not breach,73.0
Cisco Nexus 31108 @ BKC-MMR (172.16.3.1)(3.3.3.3),4608,Eth-1/53  Traffic  BKC to NSE  (OFC-PNS-PRI)  to  172.16.4.1  Eth-1/53,6215,03-07-2024 09:22:02,Not breach,2690.0
Cisco Nexus 31108 @ BKC-MMR (172.16.3.1)(3.3.3.3),4608,Eth-1/54  Traffic  BKC to BSE  (OFC-PNS-PRI)  to  172.16.5.1  Eth-1/54,6216,03-07-2024 09:22:18,Not breach,1384.0
CISCO N9K-C9372PX @ KOHINNOR_KURLA_POP 172.16.15.1(15.15.15.1),6480,Eth-1/47 Traffic KOHINOOR KURLA to BKC (OFC-PNS-PRI) to 172.16.3.1 Eth-1/45,6482,03-07-2024 14:47:12,Not breach,73.0
Cisco 31108 @ Mahalaxmi(172.16.12.1)(12.12.12.12),4142,Eth 1/48 MAHALAXMI_TO_NSE_P4_4.5_Eth1/47_SEC_LIU-9 Traffic,6453,N/A,Not breach,
Cisco 31108 @ Mahalaxmi(172.16.12.1)(12.12.12.12),4142,Eth1/54 Traffic Mahalaxmi to BSE DC-3 (OFC-PNS-Primary)  to 172.17.5.1 Eth-1/54 (LIU-10),6278,03-07-2024 16:46:45,Not breach,0.4
Cisco 31108 @ YOTTA (172.16.10.1)(10.10.10.1),4405,Eth1/47 Traffic Yotta to Panvel (OFC-PNS-Primary)  to 172.16.10.101 XG0/0/3,4513,N/A,Not breach,
Cisco 31108 @ YOTTA (172.16.10.1)(10.10.10.1),4405,Eth1/48 Traffic Yotta to Panvel (LIU-3) (OFC-PNS-Primary) to 172.16.10.101 XG0/0/3,6386,03-07-2024 15:33:16,Not breach,4.8
Cisco 31108 @ BHANDUP (172.16.9.1)(9.9.9.1),4407,Eth1/37 Traffic BHANDUP to KALWA (OFC-PNS-Primary) to 172.16.14.1 Eth-1/48,4535,03-07-2024 06:01:50,Not breach,482.0
C9372PX @ YOTTA POP 172.16.10.3,6387,Eth1/48 Traffic Yotta to Panvel (OFC-PNS-Secondary) to 172.16.10.101 XG0/0/4,6419,03-07-2024 16:46:26,Not breach,4.71
