"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Unicast In (Volume)","Unicast In (Volume)(RAW)","Unicast In (Speed)","Unicast In (Speed)(RAW)","Unicast Out (Volume)","Unicast Out (Volume)(RAW)","Unicast Out (Speed)","Unicast Out (Speed)(RAW)","Multicast In (Volume)","Multicast In (Volume)(RAW)","Multicast In (Speed)","Multicast In (Speed)(RAW)","Multicast Out (Volume)","Multicast Out (Volume)(RAW)","Multicast Out (Speed)","Multicast Out (Speed)(RAW)","Broadcast In (Volume)","Broadcast In (Volume)(RAW)","Broadcast In (Speed)","Broadcast In (Speed)(RAW)","Broadcast Out (Volume)","Broadcast Out (Volume)(RAW)","Broadcast Out (Speed)","Broadcast Out (Speed)(RAW)","Errors In (Volume)","Errors In (Volume)(RAW)","Errors In (Speed)","Errors In (Speed)(RAW)","Errors Out (Volume)","Errors Out (Volume)(RAW)","Errors Out (Speed)","Errors Out (Speed)(RAW)","Discards In (Volume)","Discards In (Volume)(RAW)","Discards In (Speed)","Discards In (Speed)(RAW)","Discards Out (Volume)","Discards Out (Volume)(RAW)","Discards Out (Speed)","Discards Out (Speed)(RAW)","Unknown Protocols In (Volume)","Unknown Protocols In (Volume)(RAW)","Unknown Protocols In (Speed)","Unknown Protocols In (Speed)(RAW)","Coverage","Coverage(RAW)"
"29-06-2024 00:10:27","45471.7780903588","0.08 MB","85560.0000","0.02 Mbit/s","2852.0000","0.04 MB","45544.0000","0.01 Mbit/s","1518.1333","0.04 MB","40016.0000","0.01 Mbit/s","1333.8667","355 #","355.0000","12 #/s","11.8333","301 #","301.0000","10 #/s","10.0333","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:10:57","45471.7784375810","0.07 MB","78405.0000","0.02 Mbit/s","2614.3715","0.03 MB","36459.0000","","1215.7052","0.04 MB","41946.0000","0.01 Mbit/s","1398.6662","280 #","280.0000","9.34 #/s","9.3364","321 #","321.0000","11 #/s","10.7036","20 #","20.0000","0.67 #/s","0.6669","6 #","6.0000","0.20 #/s","0.2001","6 #","6.0000","0.20 #/s","0.2001","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:11:27","45471.7787848148","0.08 MB","85455.0000","0.02 Mbit/s","2848.5000","0.05 MB","48324.0000","0.01 Mbit/s","1610.8000","0.04 MB","37131.0000","","1237.7000","379 #","379.0000","13 #/s","12.6333","277 #","277.0000","9.23 #/s","9.2333","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:11:57","45471.7791320370","0.09 MB","90445.0000","0.02 Mbit/s","3014.8333","0.05 MB","49897.0000","0.01 Mbit/s","1663.2333","0.04 MB","40548.0000","0.01 Mbit/s","1351.6000","401 #","401.0000","13 #/s","13.3667","312 #","312.0000","10 #/s","10.4000","18 #","18.0000","0.60 #/s","0.6000","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:12:27","45471.7794792708","0.09 MB","96050.0000","0.03 Mbit/s","3201.6667","0.05 MB","55133.0000","0.01 Mbit/s","1837.7667","0.04 MB","40917.0000","0.01 Mbit/s","1363.9000","436 #","436.0000","15 #/s","14.5333","305 #","305.0000","10 #/s","10.1667","19 #","19.0000","0.63 #/s","0.6333","7 #","7.0000","0.23 #/s","0.2333","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:12:57","45471.7798264931","0.09 MB","95419.0000","0.03 Mbit/s","3180.6333","0.04 MB","45474.0000","0.01 Mbit/s","1515.8000","0.05 MB","49945.0000","0.01 Mbit/s","1664.8333","347 #","347.0000","12 #/s","11.5667","385 #","385.0000","13 #/s","12.8333","27 #","27.0000","0.90 #/s","0.9000","6 #","6.0000","0.20 #/s","0.2000","7 #","7.0000","0.23 #/s","0.2333","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:13:27","45471.7801737153","0.09 MB","93880.0000","0.03 Mbit/s","3129.3333","0.06 MB","58271.0000","0.02 Mbit/s","1942.3667","0.03 MB","35609.0000","","1186.9667","464 #","464.0000","15 #/s","15.4667","263 #","263.0000","8.77 #/s","8.7667","19 #","19.0000","0.63 #/s","0.6333","7 #","7.0000","0.23 #/s","0.2333","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:13:57","45471.7805209491","0.08 MB","81075.0000","0.02 Mbit/s","2702.5000","0.04 MB","42929.0000","0.01 Mbit/s","1430.9667","0.04 MB","38146.0000","0.01 Mbit/s","1271.5333","336 #","336.0000","11 #/s","11.2000","295 #","295.0000","9.83 #/s","9.8333","18 #","18.0000","0.60 #/s","0.6000","5 #","5.0000","0.17 #/s","0.1667","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:14:27","45471.7808681597","0.09 MB","89220.0000","0.02 Mbit/s","2974.9917","0.05 MB","51401.0000","0.01 Mbit/s","1713.9380","0.04 MB","37819.0000","0.01 Mbit/s","1261.0537","404 #","404.0000","13 #/s","13.4712","283 #","283.0000","9.44 #/s","9.4365","20 #","20.0000","0.67 #/s","0.6669","6 #","6.0000","0.20 #/s","0.2001","6 #","6.0000","0.20 #/s","0.2001","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
"29-06-2024 00:14:57","45471.7812154051","0.07 MB","72224.0000","0.02 Mbit/s","2407.4667","0.03 MB","33725.0000","","1124.1667","0.04 MB","38499.0000","0.01 Mbit/s","1283.3000","256 #","256.0000","8.53 #/s","8.5333","296 #","296.0000","9.87 #/s","9.8667","19 #","19.0000","0.63 #/s","0.6333","6 #","6.0000","0.20 #/s","0.2000","6 #","6.0000","0.20 #/s","0.2000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","0 #","0.0000","0 #/s","0.0000","100 %","0000010000"
